plt_id_cfvvf,latin_name,bornes_abd,min_abd,max_abd,id_pasa
3,ACANTHUS MOLLIS L.                                                                                                                                                                                                                                        ,[1-5],1,5,1
5,ACER CAMPESTRE L.                                                                                                                                                                                                                                         ,[1-6],1,6,2
5,ACER CAMPESTRE L.                                                                                                                                                                                                                                         ,[2-6],2,6,3
5,ACER CAMPESTRE L.                                                                                                                                                                                                                                         ,[3-6],3,6,4
6,ACER CAMPESTRE L. SUBSP. CAMPESTRE                                                                                                                                                                                                                        ,[1-3],1,3,5
7,ACER CAMPESTRE L. SUBSP. HEBECARPUM DC.                                                                                                                                                                                                                   ,[1-2],1,2,6
9,ACER MONSPESSULANUM L.                                                                                                                                                                                                                                    ,[1-6],1,6,7
9,ACER MONSPESSULANUM L.                                                                                                                                                                                                                                    ,[2-6],2,6,8
9,ACER MONSPESSULANUM L.                                                                                                                                                                                                                                    ,[3-6],3,6,9
10,ACER MONSPESSULANUM L. SUBSP. LOSCOSI RY                                                                                                                                                                                                                  ,[1-5],1,5,10
10,ACER MONSPESSULANUM L. SUBSP. LOSCOSI RY                                                                                                                                                                                                                  ,[2-5],2,5,11
12,ACER MONSPESSULANUM L. SUBSP. MONSPESSULANUM                                                                                                                                                                                                              ,[1-4],1,4,12
13,ACER NEGUNDO L.                                                                                                                                                                                                                                           ,[1-6],1,6,13
13,ACER NEGUNDO L.                                                                                                                                                                                                                                           ,[2-6],2,6,14
13,ACER NEGUNDO L.                                                                                                                                                                                                                                           ,[3-6],3,6,15
14,ACER OPALUS MILLER                                                                                                                                                                                                                                        ,[1-6],1,6,16
14,ACER OPALUS MILLER                                                                                                                                                                                                                                        ,[2-6],2,6,17
14,ACER OPALUS MILLER                                                                                                                                                                                                                                        ,[3-6],3,6,18
15,ACER OPALUS MILLER SUBSP. ITALUM LAUTH.                                                                                                                                                                                                                   ,[1-4],1,4,19
16,ACER OPALUS MILLER SUBSP. OPALUS                                                                                                                                                                                                                          ,[1-4],1,4,20
17,ACER PLATANOIDES L.                                                                                                                                                                                                                                       ,[1-6],1,6,21
17,ACER PLATANOIDES L.                                                                                                                                                                                                                                       ,[2-6],2,6,22
17,ACER PLATANOIDES L.                                                                                                                                                                                                                                       ,[3-6],3,6,23
18,ACER PSEUDOPLATANUS L.                                                                                                                                                                                                                                    ,[1-6],1,6,24
18,ACER PSEUDOPLATANUS L.                                                                                                                                                                                                                                    ,[2-6],2,6,25
18,ACER PSEUDOPLATANUS L.                                                                                                                                                                                                                                    ,[3-6],3,6,26
20,ADOXA MOSCHATELLINA (TOURN.) L.                                                                                                                                                                                                                           ,[1-6],1,6,27
20,ADOXA MOSCHATELLINA (TOURN.) L.                                                                                                                                                                                                                           ,[2-6],2,6,28
20,ADOXA MOSCHATELLINA (TOURN.) L.                                                                                                                                                                                                                           ,[3-6],3,6,29
22,CARPOBROTUS ACINACIFORMIS (L.) N. E. BR.                                                                                                                                                                                                                  ,[1-4],1,4,30
23,CARPOBROTUS EDULIS (L.) N. E. BR.                                                                                                                                                                                                                         ,[1-6],1,6,31
25,MESEMBRIANTHEMUM CRYSTALLINUM L.                                                                                                                                                                                                                          ,[1-6],1,6,32
26,MESEMBRIANTHEMUM NODIFLORUM L.                                                                                                                                                                                                                            ,[1-6],1,6,33
26,MESEMBRIANTHEMUM NODIFLORUM L.                                                                                                                                                                                                                            ,[3-6],3,6,34
30,AMARANTUS ALBUS L.                                                                                                                                                                                                                                        ,[1-3],1,3,35
34,AMARANTUS ASCENDENS LOISELEUR                                                                                                                                                                                                                             ,[1-4],1,4,36
34,AMARANTUS ASCENDENS LOISELEUR                                                                                                                                                                                                                             ,[2-4],2,4,37
36,AMARANTUS ASCENDENS LOISELEUR VAR. OLERACEUS L.                                                                                                                                                                                                           ,[1-4],1,4,38
37,AMARANTUS ASCENDENS LOISELEUR VAR. POLYGONOIDES MOQ.                                                                                                                                                                                                      ,[1-6],1,6,39
38,AMARANTUS BLITOIDES WATSON                                                                                                                                                                                                                                ,[1-4],1,4,40
39,AMARANTUS CAUDATUS L.                                                                                                                                                                                                                                     ,[1-2],1,2,41
40,AMARANTUS DEFLEXUS L.                                                                                                                                                                                                                                     ,[1-6],1,6,42
40,AMARANTUS DEFLEXUS L.                                                                                                                                                                                                                                     ,[2-6],2,6,43
44,AMARANTUS HYBRIDUS (L.) THLNG.                                                                                                                                                                                                                            ,[1-5],1,5,44
50,AMARANTUS HYBRIDUS (L.) THLNG. SUBSP. HYPOCHONDRIACUS L.                                                                                                                                                                                                  ,[1-3],1,3,45
55,AMARANTUS RETROFLEXUS L.                                                                                                                                                                                                                                  ,[1-4],1,4,46
55,AMARANTUS RETROFLEXUS L.                                                                                                                                                                                                                                  ,[2-4],2,4,47
56,AMARANTUS SILVESTER (DESF.) VILL.                                                                                                                                                                                                                         ,[1-3],1,3,48
59,COTINUS COCCYGIA (BAUHIN) MILL.                                                                                                                                                                                                                           ,[1-6],1,6,49
59,COTINUS COCCYGIA (BAUHIN) MILL.                                                                                                                                                                                                                           ,[2-6],2,6,50
59,COTINUS COCCYGIA (BAUHIN) MILL.                                                                                                                                                                                                                           ,[3-6],3,6,51
60,RHUS CORIARIA L.                                                                                                                                                                                                                                          ,[1-5],1,5,52
60,RHUS CORIARIA L.                                                                                                                                                                                                                                          ,[2-5],2,5,53
68,NERIUM OLEANDER L.                                                                                                                                                                                                                                        ,[1-4],1,4,54
69,VINCA DIFFORMIS POURRET                                                                                                                                                                                                                                   ,[1-3],1,3,55
70,VINCA MAJOR L.                                                                                                                                                                                                                                            ,[1-3],1,3,56
71,VINCA MINOR L.                                                                                                                                                                                                                                            ,[1-6],1,6,57
71,VINCA MINOR L.                                                                                                                                                                                                                                            ,[5-6],5,6,58
75,ILEX AQUIFOLIUM L.                                                                                                                                                                                                                                        ,[1-6],1,6,59
75,ILEX AQUIFOLIUM L.                                                                                                                                                                                                                                        ,[2-6],2,6,60
75,ILEX AQUIFOLIUM L.                                                                                                                                                                                                                                        ,[3-6],3,6,61
83,HEDERA HELIX L.                                                                                                                                                                                                                                           ,[1-6],1,6,62
83,HEDERA HELIX L.                                                                                                                                                                                                                                           ,[3-6],3,6,63
83,HEDERA HELIX L.                                                                                                                                                                                                                                           ,[4-6],4,6,64
85,ARISTOLOCHIA ALTISSIMA DESF.                                                                                                                                                                                                                              ,[1-6],1,6,65
85,ARISTOLOCHIA ALTISSIMA DESF.                                                                                                                                                                                                                              ,[5-6],5,6,66
86,ARISTOLOCHIA CLEMATITIS L.                                                                                                                                                                                                                                ,[1-4],1,4,67
86,ARISTOLOCHIA CLEMATITIS L.                                                                                                                                                                                                                                ,[2-4],2,4,68
87,ARISTOLOCHIA LONGA L.                                                                                                                                                                                                                                     ,[1-2],1,2,69
88,ARISTOLOCHIA PALLIDA WILLD.                                                                                                                                                                                                                               ,[1-4],1,4,70
89,ARISTOLOCHIA PISTOLOCHIA L.                                                                                                                                                                                                                               ,[1-3],1,3,71
90,ARISTOLOCHIA ROTUNDA L.                                                                                                                                                                                                                                   ,[1-6],1,6,72
90,ARISTOLOCHIA ROTUNDA L.                                                                                                                                                                                                                                   ,[2-6],2,6,73
92,ASARUM EUROPAEUM L.                                                                                                                                                                                                                                       ,[1-6],1,6,74
92,ASARUM EUROPAEUM L.                                                                                                                                                                                                                                       ,[2-6],2,6,75
92,ASARUM EUROPAEUM L.                                                                                                                                                                                                                                       ,[3-6],3,6,76
94,ASCLEPIAS CORNUTI DECAISNE                                                                                                                                                                                                                                ,[1-3],1,3,77
95,CYNANCHUM ACUTUM L.                                                                                                                                                                                                                                       ,[1-6],1,6,78
95,CYNANCHUM ACUTUM L.                                                                                                                                                                                                                                       ,[2-6],2,6,79
95,CYNANCHUM ACUTUM L.                                                                                                                                                                                                                                       ,[3-6],3,6,80
96,GOMPHOCARPUS FRUTICOSUS (L.) R. BR.                                                                                                                                                                                                                       ,[1-4],1,4,81
97,VINCETOXICUM NIGRUM MOENCH                                                                                                                                                                                                                                ,[1-3],1,3,82
98,VINCETOXICUM OFFICINALE MOENCH                                                                                                                                                                                                                            ,[1-6],1,6,83
