"id_pasa","id_clim","lon","lat","altitude_fr_1km","rr01_61_90","rr02_61_90","rr03_61_90","rr04_61_90","rr05_61_90","rr06_61_90","rr07_61_90","rr08_61_90","rr09_61_90","rr10_61_90","rr11_61_90","rr12_61_90","tn01_61_90","tn02_61_90","tn03_61_90","tn04_61_90","tn05_61_90","tn06_61_90","tn07_61_90","tn08_61_90","tn09_61_90","tn10_61_90","tn11_61_90","tn12_61_90","tx01_61_90","tx02_61_90","tx03_61_90","tx04_61_90","tx05_61_90","tx06_61_90","tx07_61_90","tx08_61_90","tx09_61_90","tx10_61_90","tx11_61_90","tx12_61_90","classesph","mat1"
1,773220,"7.299","43.695","182.1","64.4","54.5","36.9","35.6","52.3","28.0","14.2","14.9","73.4","88.4","65.6","46.3","4.9","5.5","6.6","9.5","12.7","15.8","19.4","19.3","16.3","12.7","8.2","5.4","11.0","12.1","13.4","16.5","20.0","23.2","27.1","26.6","23.5","19.4","14.9","11.9",NULL,NULL
1,651366,"5.418","43.344","135.7","66.9","58.9","41.3","42.4","58.3","32.4","14.9","17.2","73.3","87.7","67.7","52.9","4.2","4.9","6.2","9.1","12.2","15.5","18.7","18.7","15.5","11.6","7.5","4.8","10.6","12.1","14.1","17.3","20.7","23.9","27.8","27.8","24.4","19.5","14.5","11.3",5,213
1,773934,"7.326","43.686","97.3","66.9","57.8","38.3","37.1","53.3","29.7","15.0","15.3","74.4","90.5","67.3","48.5","5.8","6.5","7.4","10.3","13.4","16.3","20.2","20.1","17.3","13.6","9.0","6.4","12.0","12.9","14.1","16.9","20.2","23.6","27.2","26.7","23.8","20.1","15.9","13.0",NULL,NULL
1,773936,"7.326","43.704","42.5","66.8","57.8","38.1","36.7","52.4","29.1","14.3","14.6","73.8","89.9","67.1","48.4","5.9","6.6","7.6","10.5","13.6","16.5","20.3","20.2","17.4","13.6","9.1","6.4","12.1","13.1","14.5","17.4","20.7","24.0","27.6","27.1","24.2","20.4","16.1","13.1",NULL,NULL
1,775598,"7.389","43.749","450.0","71.7","62.7","42.9","43.1","63.2","38.9","24.4","22.7","81.8","98.9","72.4","53.5","3.2","3.8","5.0","8.0","11.3","14.3","18.0","17.8","14.9","11.1","6.5","3.8","9.3","10.2","12.0","15.0","18.6","21.9","25.6","25.2","22.1","17.8","13.2","10.1",6,210
1,777697,"7.47","43.758","72.7","72.1","64.2","41.8","40.9","57.6","35.2","19.4","18.1","78.3","96.3","71.6","53.3","6.0","6.7","7.6","10.5","13.7","16.4","20.4","20.3","17.6","13.7","9.0","6.5","12.3","13.0","14.6","17.2","20.4","23.8","27.1","26.7","23.9","20.4","16.4","13.3",NULL,NULL
1,777927,"7.479","43.749","0.0","65.5","56.2","36.7","34.9","50.1","27.1","12.7","13.2","72.4","88.3","65.9","46.7","4.5","5.3","6.8","9.9","13.3","16.3","19.9","19.7","16.4","12.3","7.8","5.1","11.1","12.5","14.9","18.2","21.9","25.1","28.6","28.5","24.9","20.3","15.2","11.8",NULL,NULL
1,777928,"7.479","43.758","14.6","67.5","58.6","38.2","36.7","52.2","29.5","14.7","14.6","74.1","90.6","67.6","48.7","6.1","6.8","7.8","10.7","13.8","16.7","20.6","20.5","17.6","13.8","9.2","6.6","12.3","13.3","14.7","17.5","20.8","24.2","27.6","27.2","24.3","20.6","16.4","13.3",NULL,NULL
1,691064,"5.922","43.146","218.6","71.4","64.2","44.3","45.7","63.6","36.5","18.9","19.8","78.7","94.9","71.4","56.3","4.5","5.3","6.3","9.2","12.4","15.4","19.0","19.0","16.0","12.1","7.7","5.1","11.0","12.1","13.9","16.8","20.1","23.4","27.1","26.9","23.8","19.5","14.9","11.8",6,210
1,691771,"5.931","43.074","47.4","59.2","49.6","34.8","34.4","49.3","20.9","5.8","10.2","67.6","80.0","60.8","44.1","6.5","7.2","7.9","10.6","13.4","16.8","20.2","20.1","17.3","14.0","9.9","6.9","12.5","13.7","14.2","17.2","20.4","23.6","27.9","27.3","24.5","20.5","16.1","13.5",NULL,NULL
